Id_pracownika;Imie;Nazwisko;Id_plci;Data_urodzenia;Email;Telefon;Id_stanowiska;Id_dokumentu;Id_pociagu;Haslo
1;Lech;Kania;M;29.01.1970;lechukania@wp.pl;100100100;KIER;ZPRA;1;LeKa96
2;Marek;Piotrowski;M;12.12.1970;marekpiotrowski@gmail.com;163861471;MASZ;ZPRA;1;MaPi32
3;Roza;Malek;K;05.05.1980;romalek@wp.pl;184753674;KIER;ZPRA;2;RoMa7
4;Piotr;Kwiatkowski;M;06.11.1982;kwiat.piotrek@gmail.com;485452215;KOND;ZPRA;1;PiKw18
5;Luiza;Wisniewska;K;18.05.1990;wisniewskaluiz@vp.pl;534365951;MASZ;ZPRA;1;LuWi57
6;Aleksandra;Nowak;K;29.09.1984;nowakola25@onet.pl;510261450;KOND;ZPRA;1;AlNo15
7;Bozena;Piechut;K;07.03.1964;bozenkapiechut@poczta.fm;780065496;KOND;ZPRA;2;BoPi34
8;Marek;Gryglewski;M;13.12.1961;gryglewskim@yahoo.com;651403605;MASZ;ZPRA;2;MaGr31
9;Bartlomiej;Wojtasik;M;07.10.1994;wojtas123@gmail.com;504121800;MASZ;ZPRA;2;BaWo79
10;Anna;Kowalczyk;K;14.07.1987;kanna@onet.pl;601253260;KIER;ZPRA;3;AnKo14
11;Antoni;Szarejko;M;17.04.1987;szarejkoa@gmail.com;740561864;MASZ;ZPRA;3;AnSz28
12;Anna;Uzar;K;18.12.1978;uzaranna@wp.pl;506201459;KOND;ZPRA;2;AnUz60
13;Waclaw;Napiorkowski;M;19.03.1966;napiorkowskiwacek@o2.pl;790710012;MASZ;ZPRA;3;WaNa39
14;Szczepan;Szmydt;M;04.03.1982;szczepan0403@yahoo.com;801403564;KOND;ZPRA;2;SzSz8
15;Roza;Chilinska;K;09.08.1975;chilinskar@tlen.pl;798156322;MASZ;ZPRA;4;RoCh27
16;Mieczyslawa;Panko;K;22.08.1968;panko@interia.pl;806515479;KOND;ZPRA;3;MiPa15
17;Maria;Nicinska;K;23.11.1981;marianici1981@interia.pl;406511479;MASZ;ZPRA;4;MaNi86
18;Waclaw;Biesek;M;07.12.1967;biesekwacek@poczta.fm;604256120;KIER;ZPRA;4;WaBi35
19;Julianna;Trojan;K;03.03.1971;trojanjulianna1@gazeta.pl;503146345;MASZ;ZPRA;5;JuTr95
20;Karina;Grzesiek;K;04.04.2000;grzekar@gmail.com;603201546;MASZ;ZPRA;5;KaGr64
21;Edward;Biel;M;17.01.1991;bieledzio@poczta.fm;451203654;KIER;ZPRA;5;EdBi3
22;Wladyslaw;Wszelaki;M;20.06.1989;wszelakiwladzio@onet.pl;503601284;KOND;ZPRA;4;WlWs42
23;Robert;Gorol;M;29.01.1988;gorol88@wp.pl;780956201;MASZ;ZPRA;6;RoGo64
24;Dawid;Bugala;M;06.06.1987;bugalad@o2.pl;856806813;KIER;ZPRA;6;DaBu27
25;Adam;Feliks;M;03.12.1990;feliksa@gmail.com;720165409;KOND;ZPRA;5;AdFe38
26;Arkadiusz;Cisek;M;01.01.2000;cisekarek@wp.pl;603214821;MASZ;ZPRA;6;ArCi23
27;Oskar;Kapciak;M;04.04.1999;kapciaka@o2.pl;603144189;MASZ;ZPRA;7;OsKa2
28;Mikolaj;Dameczuk;M;25.05.1990;dameczukmiki@interia.pl;798888952;KIER;ZPRA;7;MiDa59
29;Franciszka;Kopinska;K;14.07.1988;franciszkakop@gmail.com;603215492;KIER;ZPRA;7;FrKo51
30;Angelika;Banak;K;14.05.1987;banakagnela@vp.pl;705259633;MASZ;ZPRA;7;AnBa84
31;Arkadiusz;Swacha;M;10.08.1986;swachaarek@yahoo.com;632458932;KOND;ZPRA;5;ArSw72
32;Sandra;Reda;K;13.09.1978;redas@gmail.com;543286325;KIER;ZPRA;1;SaRe14
33;Mikolaj;Warszawski;M;18.12.1980;mikolajwarszawski@onet.pl;795216335;KOND;ZPRA;6;MiWa15
34;Bronislaw;Lamch;M;01.07.1969;lamchbronislaw@interia.pl;456306658;KIER;ZPRA;2;BrLa24
35;Mateusz;Ryczko;M;29.04.1992;ryczkom@wp.pl;506219365;MASZ;ZPRA;1;MaRy89
36;Regina;Wiecek;K;19.12.1987;wiecekregina@onet.pl;802265456;KIER;ZPRA;3;ReWi31
37;Daniela;Tokwinska;K;15.04.1969;daniela1504@poczta.fm;608256520;KOND;ZPRA;6;DaTo89
38;Honorata;Bugajska;K;28.02.1987;bugajhonorata@vp.pl;502159389;KOND;ZPRA;7;HoBu62
39;Elzbieta;Waldoch;K;27.01.1985;welawela85@yahoo.com;806211629;MASZ;ZPRA;1;ElWa23
40;Mieczyslawa;Motylska;K;21.11.1990;motylskamiecz@o2.pl;786214920;KOND;ZPRA;7;MiMo51
