Id_pasazera;Imie;Nazwisko;Id_plci;Data_urodzenia;Email;Telefon;Id_dokumentu;Id_pracownika;Haslo
1;Franciszek;Jabłoński;M;05.06.1957;fjablonski@wp.pl;101101101;KSEN;0;FrJa78
2;Aneta;Kaźmierczak;K;20.09.1965;anetak@gmail.com;202202202;KDRO;0;AnKa43
3;Agnieszka;Piasecka;K;04.10.2007;agapiasek@onet.pl;303303303;KLOD;0;AgPi59
4;Wojciech;Czajka;M;24.01.2001;czajkaw@gmail.com;404404404;LSTU;0;WoCz7
5;Adam;Klimek;M;06.11.1998;klima@wp.pl;505505505;DOSO;0;AdKl59
6;Paula;Jarosz;K;25.11.1990;pjarosz@onet.pl;606606606;KZOL;0;PaJa22
7;Fryderyk;Mazur;M;14.09.2011;mazurek@wp.pl;707707707;LSZK;0;FrMa41
8;Julita;Szulc;K;29.12.2009;szulcjulita@gmail.com;808808808;DOSO;0;JuSz37
9;Nina;Szymczak;K;23.06.1992;nszymczak@onet.pl;909909909;KLOD;0;NiSz60
10;Lech;Kania;M;29.01.1970;lechukania@wp.pl;100100100;ZPRA;1;LeKa14
11;Ginter;Świątek;M;12.04.1987;ginswi@wp.pl;293108120;DOSO;0;GiŚw78
12;Tina;Kowalska;K;12.03.1999;tkowalska2@gmail.pl;123658198;KLOD;0;TiKo27
13;Monika;Kłoś;K;03.12.2007;moniczka123@wp.pl;986267351;LSZK;0;MoKł39
14;Tomasz;Głośny;M;06.06.2000;tomeczek66@gmail.pl;614616456;LSTU;0;ToGł96
15;Grzegorz;Tarczyński;M;30.01.1970;grzegorzt70@wp.pl;616396142;KDRO;0;GrTa34
16;Nikola;Zalewski;M;15.07.1985;zalew@gmail.pl;999888777;DOSO;0;NiZa63
17;Aneta;Łopata;K;23.04.1999;alopata@gmail.pl;187238376;LSTU;0;AnŁo18
18;Klara;Lewandowska;K;29.02.2000;klalew15@wp.pl;187664820;LSTU;0;KlLe49
19;Marek;Piotrowski;M;12.12.1970;marekpiotrowski@gmail.pl;163861471;ZPRA;2;MaPi75
20;Krzysztof;Piątek;M;15.09.1991;pipipiatek@gmail.pl;286465758;DOSO;0;KrPi35
21;Katarzyna;Bar;K;09.03.1960;katarzynabar@wp.pl;947525611;KKOM;0;KaBa84
22;Piotr;Zieliński;M;21.07.2001;pzielu@gmail.pl;364236135;LSTU;0;PiZi52
23;Łukasz;Kalosz;M;14.04.1988;kaloszl13@wp.pl;464295808;KLOD;0;ŁuKa61
24;Anna;Grass;K;30.11.1977;grass77@wp.pl;784381098;KDRO;0;AnGr38
25;Joachim;Palec;M;19.10.1986;jp1728@wp.pl;972394128;KDRO;0;JoPa91
26;Benedykt;Łysy;M;03.09.1979;benly@gmail.pl;823178193;DOSO;0;BeŁy85
27;Konstancja;Koperek;K;13.10.2003;koperek13@wp.pl;882888999;LSTU;0;KoKo54
28;Tymoteusz;Fiołek;M;30.12.2001;tymekfi@gmail.pl;666777152;LSTU;0;TyFi44
30;Róża;Małek;K;05.05.1980;romalek@wp.pl;184753674;ZPRA;3;RóMa86
31;Adam;Stefański;M;14.05.2002;stefanskia1@wp.pl;570465982;LSTU;0;AdSt90
32;Rafał;Pielasiak;M;08.11.1996;plerafi@gmail.com;740562320;DOSO;0;RaPi81
33;Paweł;Szymczyk;M;30.07.1948;szymczykpawel@o2.pl;501502545;KSEN;0;PaSz47
34;Nina;Smiech;K;12.07.1992;ninka2@vp.pl;678299493;KLOD;0;NiSm30
35;Alicja;Polańska;K;14.09.2001;alciapralcia@gmail.com;977693799;LSTU;0;AlPo28
36;Weronika;Dziąg;K;17.03.2001;dziąg32@tlen.pl;769445890;LSTU;0;WeDz16
37;Milena;Łuczyńska;K;23.04.1998;milena.luczynska@gmail.com;534568245;KLOD;0;MiŁu70
38;Nikola;Gajewska;K;18.05.2010;nikoelopomelo@gmail.com;989478657;LSZK;0;NiGa35
39;Tamara;Potocka;K;29.06.2010;tamarama@wp.pl;245647640;LSZK;0;TaPo36
40;Weronika;Pawlicka;K;09.01.2010;weronikapawlicka7@vp.pl;544552355;LSZK;0;WePa69
41;Jakub;Dymek;M;12.09.2000;dymekjakub@gmail.com;530332114;LSTU;0;JaDy8
42;Dawid;Bednarek;M;08.08.1992;bednarekkdawidd@op.pl;545658625;LSTU;0;DaBe35
43;Dawid;Butyński;M;26.11.1988;butynskidawid4@tlen.pl;786564845;DOSO;0;DaBu1
44;Natalia;Lefik;K;14.04.1999;leficzka@poczta.fm;652312365;LSTU;0;NaLe6
45;Monika;Adamczyk;K;19.08.1978;adammonika@yahoo.com;745326848;KDRO;0;MoAd34
46;Piotr;Adamczyk;M;26.05.1975;adampiotr@@interia.pl;541555519;KDRO;0;PiAd3
47;Karolina;Mazur;K;23.12.1956;mkarolinaazur@gazeta.pl;856186193;KSEN;0;KaMa73
